"","distance","spectrumID","i"
"1","0.472692077837399","spec-1353-53083-0579.fits","519"
"2","0.556729897119463","spec-2188-54595-0112.fits","1094"
"3","0.558092072879332","spec-5301-55987-0190.fits","235"
"4","0.56776368517715","spec-7235-56603-0338.fits","213"
"5","0.575091355862916","spec-1788-54468-0050.fits","1113"
"6","0.58643774314403","spec-2557-54178-0009.fits","356"
"7","0.587922531117375","spec-1229-52723-0306.fits","1566"
"8","0.597443268769778","spec-7089-56661-0076.fits","60"
"9","0.600448159199578","spec-6064-56097-0818.fits","1328"
"10","0.613068874072038","spec-7255-56597-0896.fits","160"
"11","0.620460063316525","spec-1081-52531-0173.fits","1145"
"12","0.62118923824149","spec-0995-52731-0137.fits","1319"
"13","0.634184084007504","spec-2161-53878-0604.fits","1305"
"14","0.635919150054793","spec-2382-54169-0116.fits","325"
"15","0.644836160496569","spec-5015-55707-0294.fits","215"
"16","0.651649501597307","spec-6439-56358-0432.fits","68"
"17","0.664558079056966","spec-5328-55982-0218.fits","914"
"18","0.670820994509712","spec-1054-52516-0291.fits","1413"
"19","0.676364967953922","spec-0991-52707-0359.fits","1250"
"20","0.678038845659636","spec-3808-55513-0602.fits","44"
"21","0.69989909230718","spec-1105-52937-0368.fits","1466"
"22","0.706125643714041","spec-5324-55947-0886.fits","962"
"23","0.719302066558261","spec-4176-55682-0865.fits","1964"
"24","0.722734446845159","spec-5454-56015-0641.fits","366"
"25","0.734489690250646","spec-2118-53820-0538.fits","1372"
"26","0.735505974337744","spec-6053-56091-0724.fits","2273"
"27","0.736757896265719","spec-1672-53460-0251.fits","937"
"28","0.740375708745215","spec-5451-56010-0798.fits","2376"
"29","0.751646211611929","spec-2422-54096-0519.fits","1654"
"30","0.755107714172988","spec-2359-53826-0199.fits","227"
"31","0.762565469266707","spec-1311-52765-0413.fits","217"
"32","0.762764780767111","spec-6466-56310-0992.fits","1971"
"33","0.771205797331149","spec-2124-53770-0113.fits","12"
"34","0.775362347196724","spec-0509-52374-0631.fits","1419"
